id	p50_ms	p95_ms	mean_ms	corridas_fallidas	corridas	rc_directa
s10-jq-log-l200000	532	540	530	0	20	0
s10-jq-log-l20000	57	61	57	0	20	0
s10-jq-log-l2174	12	17	13	0	20	0
s1b-query-refresh-sim0-n1000	979	1027	989	20	20	1
s1b-query-refresh-sim0-n174	981	986	979	0	20	0
s1b-query-refresh-sim0-n5000	1057	1084	1060	20	20	1
s1-query-refresh-n1000	977	988	978	20	20	1
s1-query-refresh-n174	969	988	970	0	20	0
s1-query-refresh-n5000	1050	1055	1049	20	20	1
s2-query-n1000	962	982	964	20	20	1
s2-query-n174	952	972	956	0	20	0
s2-query-n5000	980	998	983	20	20	1
s3-index-sin-cambios-n1000	20	26	20	0	20	0
s3-index-sin-cambios-n174	8	10	8	0	20	0
s3-index-sin-cambios-n5000	67	68	67	0	20	0
s4-arranque-content-n1000	18	21	17	0	20	0
s4-arranque-content-n174	8	9	8	0	20	0
s4-arranque-content-n5000	43	47	42	0	20	0
s5-search-fts-n1000	8	10	8	0	20	0
s5-search-fts-n174	3	6	4	0	20	0
s5-search-fts-n5000	11	21	13	0	20	0
s6-hook-entero-n1000	1019	1033	1019	0	20	0
s6-hook-entero-n174	1060	1071	1059	0	20	0
s6-hook-entero-n5000	1097	1135	1106	0	20	0
s7-config-jq-n1000	3	4	3	0	20	0
s7-config-jq-n174	4	5	4	0	20	0
s7-config-jq-n5000	3	5	3	0	20	0
s8-kb-precommit-n1000	108	122	109	20	20	1
s8-kb-precommit-n174	64	68	64	20	20	1
s8-kb-precommit-n5000	328	342	330	20	20	1
s9-git-log-una-nota-n1000	2	2	2	0	20	0
s9-git-log-una-nota-n174	0	1	1	0	20	0
s9-git-log-una-nota-n5000	3	3	3	0	20	0
