id	p50_ms	p95_ms	mean_ms	corridas_fallidas	corridas	rc_directa
s10-jq-log-l200000	531	542	532	0	20	0
s10-jq-log-l20000	58	61	57	0	20	0
s10-jq-log-l2174	14	19	14	0	20	0
s1b-query-refresh-sim0-n1000	980	994	982	0	20	0
s1b-query-refresh-sim0-n174	971	1035	979	0	20	0
s1b-query-refresh-sim0-n5000	1081	1097	1082	0	20	0
s1-query-refresh-n1000	980	987	980	0	20	0
s1-query-refresh-n174	965	984	967	0	20	0
s1-query-refresh-n5000	1078	1092	1079	0	20	0
s2-query-n1000	978	1005	980	0	20	0
s2-query-n174	965	978	964	0	20	0
s2-query-n5000	1067	1081	1067	0	20	0
s3-index-sin-cambios-n1000	10	11	9	0	20	0
s3-index-sin-cambios-n174	4	7	4	0	20	0
s3-index-sin-cambios-n5000	26	32	26	0	20	0
s4-arranque-content-n1000	13	22	14	0	20	0
s4-arranque-content-n174	8	9	7	0	20	0
s4-arranque-content-n5000	45	51	45	0	20	0
s5-search-fts-n1000	10	11	10	0	20	0
s5-search-fts-n174	6	8	7	0	20	0
s5-search-fts-n5000	11	19	13	0	20	0
s6-hook-entero-n1000	1054	1082	1058	0	20	0
s6-hook-entero-n174	1027	1045	1028	0	20	0
s6-hook-entero-n5000	1165	1183	1165	0	20	0
s7-config-jq-n1000	4	5	4	0	20	0
s7-config-jq-n174	3	5	3	0	20	0
s7-config-jq-n5000	2	3	2	0	20	0
s8-kb-precommit-n1000	105	114	105	20	20	1
s8-kb-precommit-n174	66	69	64	20	20	1
s8-kb-precommit-n5000	327	346	331	20	20	1
s9-git-log-una-nota-n1000	2	2	1	0	20	0
s9-git-log-una-nota-n174	2	3	2	0	20	0
s9-git-log-una-nota-n5000	3	3	3	0	20	0
