id	p50_ms	p95_ms	mean_ms	corridas_fallidas	corridas	rc_directa
s10-jq-log-l200000	530	546	532	0	20	0
s10-jq-log-l20000	57	61	57	0	20	0
s10-jq-log-l2174	12	17	13	0	20	0
s1b-query-refresh-sim0-n1000	2985	3025	2978	0	20	0
s1b-query-refresh-sim0-n174	1001	1019	1003	0	20	0
s1b-query-refresh-sim0-n5000	10834	11091	10840	0	20	0
s1-query-refresh-n1000	2788	2838	2790	0	20	0
s1-query-refresh-n174	1002	1013	1005	0	20	0
s1-query-refresh-n5000	10768	11035	10777	0	20	0
s2-query-n1000	2779	2841	2791	0	20	0
s2-query-n174	995	1010	997	0	20	0
s2-query-n5000	10828	11131	10732	0	20	0
s3-index-sin-cambios-n1000	11	16	12	0	20	0
s3-index-sin-cambios-n174	4	7	5	0	20	0
s3-index-sin-cambios-n5000	28	32	28	0	20	0
s4-arranque-content-n1000	11	20	13	0	20	0
s4-arranque-content-n174	8	10	8	0	20	0
s4-arranque-content-n5000	42	49	43	0	20	0
s5-search-fts-n1000	10	11	9	0	20	0
s5-search-fts-n174	3	6	4	0	20	0
s5-search-fts-n5000	13	20	14	0	20	0
s6-hook-entero-n1000	2959	3059	2950	0	20	0
s6-hook-entero-n174	1079	1093	1081	0	20	0
s6-hook-entero-n5000	5055	5071	5057	0	20	0
s7-config-jq-n1000	4	4	4	0	20	0
s7-config-jq-n174	4	4	4	0	20	0
s7-config-jq-n5000	4	5	4	0	20	0
s8-kb-precommit-n1000	107	118	108	20	20	1
s8-kb-precommit-n174	64	68	62	20	20	1
s8-kb-precommit-n5000	326	340	326	20	20	1
s9-git-log-una-nota-n1000	0	1	0	0	20	0
s9-git-log-una-nota-n174	2	3	2	0	20	0
s9-git-log-una-nota-n5000	3	3	3	0	20	0
